% amp_lsp amp_dsnr delta_heff veg_correction slope_correction
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.6049   0.5933   0.0059 -29.1240   0.5585
  0.7396   0.5868   0.0712 -41.3492   0.4916
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.6691   0.2285   0.1840 -83.3764   1.2563
  0.8722   0.8027   0.0356 -18.1721   0.2068
  1.0061   1.0070   0.0000   3.2873   0.1819
  0.7749   0.7994  -0.0178  -9.9197   0.3028
  0.7003   0.5111   0.0831 -67.1366   0.4212
  0.5685   0.3656   0.0950 -104.9858   0.4632
  0.5788   0.2972   0.1187 -120.2446   0.6276
  0.6705   0.6118   0.0356 -30.8901   0.5789
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.7878   0.7613   0.0178 -17.1432   0.3576
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.6425   0.2495   0.1662 -112.1934   1.0724
  0.7697   0.6197   0.0653 -46.8083   0.3235
  0.8528   0.8051   0.0237 -15.4187   0.2517
  1.0034   1.0037   0.0000   1.2478   0.0846
  0.8877   0.9046  -0.0059  -1.1073   0.2182
  0.9156   0.9289  -0.0059  -1.6697   0.2381
  0.8392   0.8615  -0.0119  -2.0566   0.1854
  0.5218   0.3452   0.0890 -102.1425   0.4660
  0.9738   0.9779   0.0000   0.2993   0.1059
  0.8429   0.8631  -0.0119  -5.9742   0.2627
  0.7709   0.6922   0.0415 -25.2228   0.4195
  0.6229   0.3917   0.1009 -94.2070   0.5232
  0.7388   0.7086   0.0178 -20.9256   0.4275
  0.7232   0.5477   0.0831 -48.0142   0.5854
  1.0758   1.0734   0.0059   7.1079  -0.0050
  0.7565   0.7058   0.0297 -22.1076   0.4351
  0.5209   0.5410  -0.0237 -28.7677   0.5520
  0.6724   0.4342   0.1187 -58.4643   0.8614
  0.6575   0.4734   0.0772 -74.8743   0.4152
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.8899   0.8370   0.0237 -13.9301   0.1765
  0.5769   0.3729   0.1365 -51.6603   0.9873
  0.7892   0.6838   0.0534 -27.8793   0.3505
  0.7735   0.7689   0.0000 -15.8541   0.3377
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.5593   0.5886  -0.0415 -20.6910   0.3829
  0.6778   0.4390   0.1009 -77.2483   0.5901
  0.6512   0.4716   0.0831 -69.5308   0.4121
  0.8220   0.7190   0.0475 -28.3953   0.2528
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.7611   0.6206   0.0653 -38.8137   0.3825
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.5333   0.3459   0.1424 -52.6743   1.0297
  0.9446   0.9198   0.0119  -6.9919   0.0955
  0.8838   0.9014  -0.0059   2.9900  -0.2435
  0.6112   0.4377   0.1068 -47.3607   0.8073
  0.9065   0.9191  -0.0059  -3.8630   0.1935
  0.7824   0.6268   0.0653 -40.5009   0.4366
  1.0000   1.0000   0.0000   0.0000   0.0017
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.7909   0.7361   0.0297 -20.1860   0.3788
  0.6704   0.5101   0.0890 -45.3202   0.6684
  1.0367   1.0355   0.0000   3.6398   0.1021
  0.8238   0.7221   0.0475 -26.9003   0.2790
  0.8516   0.8470   0.0059 -10.8517   0.2440
  1.0000   1.0000   0.0000   0.0000   0.0017
  0.8511   0.7692   0.0356 -21.9839   0.2084
  0.6219   0.5662   0.0415 -35.2907   0.6413
  0.9188   0.8950   0.0119  -8.0205   0.1362
  0.8503   0.8164   0.0178 -15.5989   0.3003
  0.5240   0.2916   0.1068 -132.2897   0.4530
  0.8385   0.7935   0.0237 -15.7194   0.2811
  0.6448   0.3924   0.1187 -74.4339   0.7727
  0.8974   0.8462   0.0237 -13.5132   0.1688
